Location	Xcoord	Ycoord	Type	Soiltexture	Fysicalregion	Ecoregion
93	53841	216470	1	2	15	6
262	53751	216157	1	2	15	6
264	53894	216146	1	2	15	6
1806	37892	205578	1	2	15	6
2751	54133	216366	1	2	15	6
3766	38667	205336	1	2	15	6
3767	38582	205597	1	2	15	6
3769	38202	205547	1	2	15	6
5744	38116	205439	1	2	15	6
5756	38504	205097	1	2	15	6
5757	37996	205792	1	2	15	6
5771	23662	195978	1	2	15	6
573	77685	227527	2	2	15	6
1340	32957	202343	2	2	15	6
1341	33287	202452	2	2	15	6
1353	32956	202484	2	2	15	6
1357	32349	203959	2	2	15	6
1659	77034	227933	2	2	15	6
1666	79383	227778	2	1	49	9
1669	77640	228329	2	2	15	6
1671	78175	228584	2	2	15	6
1672	77028	227941	2	2	15	6
1723	26797	199503	2	2	15	6
2003	27875	200717	2	2	15	6
4718	23984	198297	2	2	15	6
4986	23185	197885	2	2	15	6
5738	53973	217630	2	2	15	6
5976	77881	227284	2	2	15	6
7707	55379	218541	2	2	15	6
7708	55440	218464	2	2	15	6
7709	55243	218558	2	2	15	6
7710	55302	218484	2	2	15	6
7711	55139	218468	2	2	15	6
7712	55099	218328	2	2	15	6
7713	54921	218343	2	2	15	6
10399	32415	204019	2	2	15	6
10612	33253	203328	2	2	15	6
10634	28110	200707	2	2	15	6
303	23666	199634	3	2	15	6
535	26564	201197	3	2	15	6
544	26683	200875	3	2	15	6
545	26432	200639	3	2	15	6
572	77335	227554	3	1	15	6
1354	33365	202816	3	2	15	6
1360	32283	204089	3	2	15	6
1361	32486	203672	3	2	15	6
1394	26418	199310	3	2	15	6
1648	78616	228051	3	2	15	6
1654	77844	228145	3	2	15	6
1657	78202	228291	3	2	15	6
1675	77573	227910	3	1	15	6
1678	78235	228316	3	2	15	6
1887	22993	198806	3	2	15	6
1892	23436	199686	3	2	15	6
1999	28595	201274	3	2	15	6
2000	28707	201026	3	2	15	6
4722	24087	198590	3	2	15	6
4731	24097	198425	3	2	15	6
4733	23967	198392	3	2	15	6
4737	23532	198345	3	2	15	6
4739	23258	199248	3	2	15	6
4745	23518	199550	3	2	15	6
4748	23953	199593	3	2	15	6
4787	24088	198240	3	2	15	6
4794	23735	198426	3	2	15	6
5964	26022	200670	3	2	15	6
6057	24272	198325	3	2	15	6
6060	23911	198176	3	2	15	6
6946	26628	199414	3	2	15	6
10217	33108	202708	3	2	15	6
10218	33186	202864	3	2	15	6
184	32507	204174	4	2	15	6
304	22967	198409	4	2	15	6
591	22908	198998	4	2	15	6
1359	32668	203583	4	2	15	6
1668	77484	227998	4	2	15	6
3853	33471	204409	4	2	15	6
3859	33088	204242	4	2	15	6
4719	23211	199078	4	2	15	6
4723	23096	199184	4	2	15	6
4757	22509	198809	4	2	15	6
4776	22617	198715	4	2	15	6
4777	22847	198736	4	2	15	6
5899	23474	199349	4	2	15	6
5955	34664	204521	4	2	15	6
6540	76995	227694	4	1	15	6
6828	23482	199360	4	2	15	6
60	206444	211899	5	2	8	3
65	206552	212168	5	2	8	3
66	206550	212169	5	2	8	3
78	206473	212059	5	2	8	3
139	194349	224785	5	3	10	3
171	194984	225555	5	2	10	3
173	238158	190512	5	2	47	3
321	206335	212060	5	2	8	3
658	196063	225891	5	2	10	3
2824	155350	230813	5	2	37	3
3018	195718	225422	5	2	10	3
3441	78136	197314	5	1	32	1
3442	78176	197348	5	1	32	1
3554	78179	197300	5	1	32	1
3556	78188	197254	5	2	32	1
3559	78197	197331	5	1	32	1
3566	78214	197358	5	1	32	1
3795	185745	210526	5	2	8	3
3796	185746	210504	5	2	8	3
3826	189140	229104	5	2	10	3
3838	188901	228115	5	2	10	3
4436	205816	220162	5	3	38	3
4438	216821	198634	5	2	38	3
4454	215310	208643	5	2	11	3
4455	215306	208604	5	2	11	3
4587	205055	220052	5	3	11	3
4996	239081	181307	5	2	11	3
5003	238747	180060	5	2	11	3
5007	238650	180342	5	2	11	3
5087	238790	180322	5	2	11	3
5127	196030	193359	5	2	13	3
5187	194789	225592	5	2	10	3
5276	206465	212275	5	2	38	3
5277	205688	211963	5	2	8	3
5278	205464	211483	5	2	8	3
5309	195606	225804	5	2	10	3
