Location	HYear	SixYearPeriod	Variable	Value
2	15	3	1	31
2	15	3	2	100.33
2	16	3	1	30
2	16	3	2	113
2	17	3	1	29
2	17	3	2	126.67
4	14	3	1	0.67
4	14	3	2	24.33
5	14	3	1	0
5	14	3	2	38.33
13	14	3	1	6
13	14	3	2	107.67
17	8	2	1	37.67
17	8	2	2	115.33
17	9	2	1	0
17	9	2	2	100.33
17	10	2	1	21.67
17	10	2	2	82.33
17	11	2	1	5.67
17	11	2	2	56.67
17	12	3	1	0.67
17	12	3	2	63.67
17	13	3	1	0
17	13	3	2	100.67
23	14	3	1	13.33
23	14	3	2	264.9
24	14	3	1	17.13
24	14	3	2	127.33
55	14	3	1	16.33
55	14	3	2	272.33
60	19	4	1	0
60	19	4	2	1.33
60	20	4	1	0
60	20	4	2	9.83
60	24	5	1	0
60	24	5	2	61.33
60	25	5	1	0
60	25	5	2	51.33
60	26	5	1	0
60	26	5	2	67
65	12	3	1	2.67
65	12	3	2	16.33
65	13	3	1	2.67
65	13	3	2	11.67
65	14	3	1	0.67
65	14	3	2	24.17
65	15	3	1	0
65	15	3	2	9
65	16	3	1	0
65	16	3	2	7.33
65	17	3	1	0.5
65	17	3	2	9.17
65	18	4	1	0
65	18	4	2	7.17
65	19	4	1	0
65	19	4	2	3.5
65	20	4	1	0
65	20	4	2	12
66	12	3	1	0
66	12	3	2	13.33
66	13	3	1	0
66	13	3	2	9
66	14	3	1	0
66	14	3	2	22
66	15	3	1	0
66	15	3	2	6.67
66	16	3	1	0
66	16	3	2	28.33
66	17	3	1	0
66	17	3	2	7.33
66	18	4	1	0
66	18	4	2	5.17
66	19	4	1	0
66	19	4	2	1.5
66	20	4	1	0
66	20	4	2	10.33
78	12	3	1	2.33
78	12	3	2	16.67
78	13	3	1	2.67
78	13	3	2	9.33
78	14	3	1	3.17
78	14	3	2	21.33
78	15	3	1	1.5
78	15	3	2	9.5
78	16	3	1	1.83
78	16	3	2	11
78	17	3	1	0.17
78	17	3	2	11
78	18	4	1	0
78	18	4	2	5.17
78	19	4	1	0
78	19	4	2	4.67
78	20	4	1	0
78	20	4	2	13.67
90	10	2	1	59
90	10	2	2	190
93	13	3	1	62
93	13	3	2	165
93	14	3	1	46.67
93	14	3	2	145
93	15	3	1	50
93	15	3	2	120.33
102	10	2	1	10
102	10	2	2	55.33
102	11	2	1	8.33
